Shard_ID,Address_Count,First_Source_Row,Last_Source_Row,First_Address_ID,Last_Address_ID,Shard_SHA256,Assignment_Status,Host_Domain,Public_URL,First_Verified_UTC,Last_Verified_UTC
MAPAE-HAS-00047,100,4604,4703,MAPAE-0004604,MAPAE-0004703,18ebe49dec78d3f4b8171245eb1782d1be0b27d08822b2eb8abad8ad71df621a,UNASSIGNED,,,,
MAPAE-HAS-00048,100,4704,4803,MAPAE-0004704,MAPAE-0004803,067518755b360d3cec33010b182bc6343f1ece2bfc9aed73a3645e61da71c7fc,UNASSIGNED,,,,
MAPAE-HAS-00049,100,4804,4903,MAPAE-0004804,MAPAE-0004903,29a6cdd3d20654d14803f1fc7d96bb8bb90aa343a479368d6d75da22613cd9b9,UNASSIGNED,,,,
MAPAE-HAS-00050,100,4904,5003,MAPAE-0004904,MAPAE-0005003,74de837adfe59669921c93763e7c8baa478c9534386b9ef9195a2f6d9518e9d8,UNASSIGNED,,,,
MAPAE-HAS-00051,100,5004,5103,MAPAE-0005004,MAPAE-0005103,6619f1b202cb6f31cf4be100871e0734c7af744872cadd5adde6b032b167abfe,UNASSIGNED,,,,
MAPAE-HAS-00052,100,5104,5203,MAPAE-0005104,MAPAE-0005203,57a63e906bd35b517ccc3358bd9a24d00c0195af156c90468ce5a5bed7f5835f,UNASSIGNED,,,,
MAPAE-HAS-00053,100,5204,5303,MAPAE-0005204,MAPAE-0005303,dea51250a953a4e5192808b8f9b41219afad99b6a6a32a7cfe79e1449b03969c,UNASSIGNED,,,,
MAPAE-HAS-00054,100,5304,5403,MAPAE-0005304,MAPAE-0005403,8ae80e86adfb6992fdc0e63eb82d5008df983e40746fd3b608dca8cddd6dd021,UNASSIGNED,,,,
MAPAE-HAS-00055,100,5404,5504,MAPAE-0005404,MAPAE-0005504,3d98c90123b5619e30d0114c8bf0655eae83f69259fad379466389b83269a1ad,UNASSIGNED,,,,
MAPAE-HAS-00056,100,5505,5604,MAPAE-0005505,MAPAE-0005604,b2e5e2bc4b7012ff9f85545572134013a84c3bf57f7df116b74595c4dd265c6a,UNASSIGNED,,,,
MAPAE-HAS-00057,100,5605,5705,MAPAE-0005605,MAPAE-0005705,942b5b97ac6e9149df5cb671e9ba71d8751c5d1f836a3c8a5b24963698c82d4f,UNASSIGNED,,,,
MAPAE-HAS-00058,100,5706,5805,MAPAE-0005706,MAPAE-0005805,8be26bb2cfa18289fc830184885780ef4b133a759f74251a353b4351719c461a,UNASSIGNED,,,,
MAPAE-HAS-00059,100,5806,5905,MAPAE-0005806,MAPAE-0005905,890dbbf12c81efb84145962c457fb807e17bb897230741db5c415a72afa83a36,UNASSIGNED,,,,
MAPAE-HAS-00060,100,5906,6005,MAPAE-0005906,MAPAE-0006005,150e0561824a138ec7695f21fd2ab66be9a958b59d33c20b2e69d043b52d8dd1,UNASSIGNED,,,,
MAPAE-HAS-00061,100,6006,6105,MAPAE-0006006,MAPAE-0006105,706b48387dbea57ce22a271c6843627db3e3de562e666a6c3b8f000104a3a4b6,UNASSIGNED,,,,
MAPAE-HAS-00062,100,6106,6205,MAPAE-0006106,MAPAE-0006205,c154d4113d69448e63a9169e08588c185515aa05100cdb0e1b617146b408f603,UNASSIGNED,,,,
MAPAE-HAS-00063,100,6206,6305,MAPAE-0006206,MAPAE-0006305,175462201f975e91f332156c8694c6ea1aac5bcaefad065c09b80f5883ba2622,UNASSIGNED,,,,
MAPAE-HAS-00064,100,6306,6405,MAPAE-0006306,MAPAE-0006405,241432c74977d8f51b20beea57c7201ae06b34493a5c26ec35ceb51146a624f2,UNASSIGNED,,,,
MAPAE-HAS-00065,100,6406,6505,MAPAE-0006406,MAPAE-0006505,63148bbfceb55e315d8f9e804e983829b12eae0eb6ea6b9141a968e67080b3ac,UNASSIGNED,,,,
MAPAE-HAS-00066,100,6506,6605,MAPAE-0006506,MAPAE-0006605,92cbf6e121692b49070e6db223142a7c1d0e48d4736f5c4e7e0f07d15dbad730,UNASSIGNED,,,,
MAPAE-HAS-00067,100,6606,6705,MAPAE-0006606,MAPAE-0006705,5d3ba691c2764f64be4d028acc39173b289fa8b33cc0f846c1850583a4c935ae,UNASSIGNED,,,,
MAPAE-HAS-00068,100,6706,6805,MAPAE-0006706,MAPAE-0006805,bc4db1b942476045fc879f2cd3f43ef523d554c6da10781e2fb257951ae93ad9,UNASSIGNED,,,,
MAPAE-HAS-00069,100,6806,6906,MAPAE-0006806,MAPAE-0006906,07028d181dbef5fee692d3ea4acae375d9526e24e9c34fbd5b5a36662f2a5220,UNASSIGNED,,,,
MAPAE-HAS-00070,100,6907,7006,MAPAE-0006907,MAPAE-0007006,8db75a29dd68ad0526cc0e2ba5c01b0dfa92ad6fb99652e89725b87b47785650,UNASSIGNED,,,,
MAPAE-HAS-00071,100,7007,7106,MAPAE-0007007,MAPAE-0007106,fc262bbf78199ca318e8a179eac3371a15b96ceec7216ec1fed5beb50f5ff309,UNASSIGNED,,,,
MAPAE-HAS-00072,100,7107,7206,MAPAE-0007107,MAPAE-0007206,521980ee91b3420f27d448b7fb1de28dcfbcff6eb9aa757c19913e5c72edfb34,UNASSIGNED,,,,
MAPAE-HAS-00073,100,7207,7306,MAPAE-0007207,MAPAE-0007306,bc12461589d5018e7ce8ea7290355946f6034aa26c778f9cb44905d2f0ac1590,UNASSIGNED,,,,
MAPAE-HAS-00074,100,7307,7406,MAPAE-0007307,MAPAE-0007406,ac15f4b22e787beac55aebb3b02d4961d51c02f5a825d79358d6f42e44ca9887,UNASSIGNED,,,,
MAPAE-HAS-00075,100,7407,7506,MAPAE-0007407,MAPAE-0007506,f7fd0bd1f835e640bd3c4dfe2e0c331d311d45b5dd86c8340f08b77233bc2dc5,UNASSIGNED,,,,
MAPAE-HAS-00076,100,7507,7606,MAPAE-0007507,MAPAE-0007606,71e93ac858f38fde50597ce53968653f4c643d52fd9cc79c6a159dfb1f5c4da4,UNASSIGNED,,,,
MAPAE-HAS-00077,100,7607,7706,MAPAE-0007607,MAPAE-0007706,22fa4dbc745cca37339da67ceffe6310f61c0e08656befa100df62844110230c,UNASSIGNED,,,,
MAPAE-HAS-00078,100,7707,7806,MAPAE-0007707,MAPAE-0007806,31a4e73a0e15535ae6c4d28ca08e036fb2f455cae8b73294a0a192b7aaf12d9d,UNASSIGNED,,,,
MAPAE-HAS-00079,100,7807,7906,MAPAE-0007807,MAPAE-0007906,45b31892cf00313890aa757a7fa3edc5b9deba5d853b43d935b1d65bd80bbceb,UNASSIGNED,,,,
MAPAE-HAS-00080,100,7907,8006,MAPAE-0007907,MAPAE-0008006,97e8f3a578f29d8e8dfb9abc079a438eb9b791815af59148d6873639960fc71b,UNASSIGNED,,,,
MAPAE-HAS-00081,100,8007,8106,MAPAE-0008007,MAPAE-0008106,2390027c6c900f88d2c0d02ab19fe48e600a17098a7c85c821b539fc55c1a841,UNASSIGNED,,,,
MAPAE-HAS-00082,100,8107,8206,MAPAE-0008107,MAPAE-0008206,0e6a99dc75683e38410e09a62d0384e44257ccc18526b5529f35394369c16e44,UNASSIGNED,,,,
MAPAE-HAS-00083,100,8207,8307,MAPAE-0008207,MAPAE-0008307,903f2b6e0a1066297f1d5f38aacc58356bb69472fce04eea94c63cf84f3f1c7c,UNASSIGNED,,,,
MAPAE-HAS-00084,100,8308,8407,MAPAE-0008308,MAPAE-0008407,13c4efde2135dfe9f777e59c4669364e21480b8a187977a9c30336b29b59401c,UNASSIGNED,,,,
MAPAE-HAS-00085,100,8408,8509,MAPAE-0008408,MAPAE-0008509,d46ad62d3033c70f30a1e40d04fb21973a9e54a8e49519965988f65f9dd102bc,UNASSIGNED,,,,
MAPAE-HAS-00086,100,8510,8609,MAPAE-0008510,MAPAE-0008609,6d7df3102d64d1ae56802faa9a882da3a3a4ac6219a082448e15d2114a3e8531,UNASSIGNED,,,,
MAPAE-HAS-00087,100,8610,8709,MAPAE-0008610,MAPAE-0008709,ccd690453547df9826102cfff431515ebfab7a6bafa063ba688a26936f40ee67,UNASSIGNED,,,,
MAPAE-HAS-00088,100,8710,8809,MAPAE-0008710,MAPAE-0008809,8b0bb1ba912aed738fd3b57b1ef1a3a89df1132d4476478effa6576ead4b6d1b,UNASSIGNED,,,,
MAPAE-HAS-00089,100,8810,8909,MAPAE-0008810,MAPAE-0008909,3ad9ff8992adcf4b0f1bb379265a23486e047997cd32ab23aac040956c4145e1,UNASSIGNED,,,,
MAPAE-HAS-00090,100,8910,9009,MAPAE-0008910,MAPAE-0009009,3c88031f7d539c61fb92deeffb87479418c502b6284f23c5965d155730c51371,UNASSIGNED,,,,
MAPAE-HAS-00091,100,9010,9109,MAPAE-0009010,MAPAE-0009109,a9234c18c02077cf6271a87d6a6c5df92ba8f53d89c47e6f2df0c3cf0a1b3395,UNASSIGNED,,,,
MAPAE-HAS-00092,100,9110,9209,MAPAE-0009110,MAPAE-0009209,9994f79ee549011ad49fc4009c1bbdf1ed46629adb9a4be30f23f7d810f2d092,UNASSIGNED,,,,
MAPAE-HAS-00093,100,9210,9309,MAPAE-0009210,MAPAE-0009309,7d4feabaa30de815633a47019340236ec47f5739cd391a8ecd2fca44eea38e91,UNASSIGNED,,,,
MAPAE-HAS-00094,100,9310,9409,MAPAE-0009310,MAPAE-0009409,95e220fc2fa51add33805c62563be5fbeca7d411be5a306dd44f81cc691a061c,UNASSIGNED,,,,
MAPAE-HAS-00095,100,9410,9509,MAPAE-0009410,MAPAE-0009509,84bc8b3023c125912cc882c74f8852210d379f1d3fe2c3fe2df8111f36142a6c,UNASSIGNED,,,,
MAPAE-HAS-00096,100,9510,9609,MAPAE-0009510,MAPAE-0009609,91cf0d7d9cbbfbef65d3421b31ba2c374a227d81b325fc23210e2687b33903ab,UNASSIGNED,,,,
MAPAE-HAS-00097,100,9610,9709,MAPAE-0009610,MAPAE-0009709,13229da13f46e5b84b31bcfe2c55369edca4d779036fef9f972952ffc0518aa6,UNASSIGNED,,,,
MAPAE-HAS-00098,100,9710,9809,MAPAE-0009710,MAPAE-0009809,48a3f3d37ecd0c7111fe08cbd0873867691395b157508ee0aa310694a62d9433,UNASSIGNED,,,,
MAPAE-HAS-00099,100,9810,9909,MAPAE-0009810,MAPAE-0009909,8194be9ec8a11d5ef07cb0a34e98c5b2947663fc249c26bd2e7503350528766b,UNASSIGNED,,,,
MAPAE-HAS-00100,100,9910,10009,MAPAE-0009910,MAPAE-0010009,55517e2ada3f72ecfa03f3f778a52fe54af89adb3a099687789c58f8de0222ea,UNASSIGNED,,,,
